象限,MBTI,靈魂調酒,選酒依據(指紋特徵),分配策略
NF 有故事,INFP,三葉草,Fi主導:價值觀強、忠於自我、理想主義,全國最多→押最討喜好分享(粉紅視覺)
NF 有故事,ENFP,邁泰,Ne主導:發散創意、熱情探索、可能性,第二多→繽紛派對感、好打卡
NF 有故事,INFJ,盤尼西林,Ni+Fe:洞察未來、理想、神秘深度,"稀有→內行有深度的酒,引以為傲"
NF 有故事,ENFJ,法式75,Fe主導:凝聚人群、魅力、領袖感,優雅有存在感的氣泡
NT 個性,INTJ,馬丁尼,Ni+Te:策略、獨立、不妥協,稀有→極簡冷冽
NT 個性,INTP,尼格羅尼,Ti主導:拆解邏輯、思辨、複雜,稀有→可放苦味個性酒
NT 個性,ENTP,長島冰茶,Ne+Ti:機智、挑戰、反差,看似溫和實則狂野的反差
NT 個性,ENTJ,曼哈頓,Te主導:領導、掌控、企圖心,強勢有威儀
SF 討喜,ISFJ,威士忌酸酒,Si+Fe:守護、可靠、體貼,高人口→溫潤不挑嘴
SF 討喜,ESFJ,瑪格麗特,Fe主導:凝聚、人緣、在意他人,高人口→熱情大眾
SF 討喜,ISFP,蜂之膝,Fi+Se:美感、當下、溫柔價值,高人口→溫暖療癒
SF 討喜,ESFP,莫西多,Se主導:當下、感染力、熱鬧,高人口→最大眾討喜
ST 實用,ISTJ,古典,Si+Te:責任、傳統、可靠,經典不敗
ST 實用,ESTJ,教父,Te+Si:組織、權威、執行,沉穩權威感
ST 實用,ISTP,威士忌高球,Ti+Se:實作、俐落、技藝,乾淨不囉嗦
ST 實用,ESTP,帕洛瑪,Se主導:行動、刺激、冒險,清爽帶勁有衝勁
